nombre,test,modo,bits_por_simbolo,fichero,exit,IID,dateTimeStamp,errorLevel,filename,sha256,testCases.0.hBitstring,testCases.0.hOriginal,testCases.0.mcvEstimateMode,testCases.0.mcvEstimatePHat,testCases.0.mcvEstimatePU,testCases.0.testCaseDesc,testCases.1.hBitstring,testCases.1.testCaseDesc,testCases.2.hBitstring,testCases.2.testCaseDesc,testCases.3.hBitstring,testCases.3.testCaseDesc,testCases.4.binTTupleRes,testCases.4.tTupleRes,testCases.4.testCaseDesc,testCases.5.binLrsRes,testCases.5.lrsRes,testCases.5.testCaseDesc,testCases.6.hBitstring,testCases.6.hOriginal,testCases.6.testCaseDesc,testCases.7.hBitstring,testCases.7.hOriginal,testCases.7.testCaseDesc,testCases.8.hBitstring,testCases.8.hOriginal,testCases.8.testCaseDesc,testCases.9.hBitstring,testCases.9.hOriginal,testCases.9.testCaseDesc,testCases.10.dataWordSize,testCases.10.hAssessed,testCases.10.hBitstring,testCases.10.hOriginal,testCases.10.testCaseDesc,toolVersion,type,testCases.0.hAssessed,testCases.0.mean,testCases.0.median,testCases.0.passedChiSquareTests,testCases.0.passedIidPermutationTests,testCases.0.passedLongestRepeatedSubstringTest,testCases.0.permutationTestResults.0.avgCollision,testCases.0.permutationTestResults.0.compression,testCases.0.permutationTestResults.0.covariance1,testCases.0.permutationTestResults.0.covariance16,testCases.0.permutationTestResults.0.covariance2,testCases.0.permutationTestResults.0.covariance32,testCases.0.permutationTestResults.0.covariance8,testCases.0.permutationTestResults.0.excursion,testCases.0.permutationTestResults.0.iteration,testCases.0.permutationTestResults.0.lenDirectionalRuns,testCases.0.permutationTestResults.0.lenRunsMedian,testCases.0.permutationTestResults.0.maxCollision,testCases.0.permutationTestResults.0.numDirectionalRuns,testCases.0.permutationTestResults.0.numIncreasesDecreases,testCases.0.permutationTestResults.0.numRunsMedian,testCases.0.permutationTestResults.0.periodicity1,testCases.0.permutationTestResults.0.periodicity16,testCases.0.permutationTestResults.0.periodicity2,testCases.0.permutationTestResults.0.periodicity32,testCases.0.permutationTestResults.0.periodicity8,testCases.0.permutationTestResults.1.avgCollision,testCases.0.permutationTestResults.1.compression,testCases.0.permutationTestResults.1.covariance1,testCases.0.permutationTestResults.1.covariance16,testCases.0.permutationTestResults.1.covariance2,testCases.0.permutationTestResults.1.covariance32,testCases.0.permutationTestResults.1.covariance8,testCases.0.permutationTestResults.1.excursion,testCases.0.permutationTestResults.1.iteration,testCases.0.permutationTestResults.1.lenDirectionalRuns,testCases.0.permutationTestResults.1.lenRunsMedian,testCases.0.permutationTestResults.1.maxCollision,testCases.0.permutationTestResults.1.numDirectionalRuns,testCases.0.permutationTestResults.1.numIncreasesDecreases,testCases.0.permutationTestResults.1.numRunsMedian,testCases.0.permutationTestResults.1.periodicity1,testCases.0.permutationTestResults.1.periodicity16,testCases.0.permutationTestResults.1.periodicity2,testCases.0.permutationTestResults.1.periodicity32,testCases.0.permutationTestResults.1.periodicity8,testCases.0.permutationTestResults.2.avgCollision,testCases.0.permutationTestResults.2.compression,testCases.0.permutationTestResults.2.covariance1,testCases.0.permutationTestResults.2.covariance16,testCases.0.permutationTestResults.2.covariance2,testCases.0.permutationTestResults.2.covariance32,testCases.0.permutationTestResults.2.covariance8,testCases.0.permutationTestResults.2.excursion,testCases.0.permutationTestResults.2.iteration,testCases.0.permutationTestResults.2.lenDirectionalRuns,testCases.0.permutationTestResults.2.lenRunsMedian,testCases.0.permutationTestResults.2.maxCollision,testCases.0.permutationTestResults.2.numDirectionalRuns,testCases.0.permutationTestResults.2.numIncreasesDecreases,testCases.0.permutationTestResults.2.numRunsMedian,testCases.0.permutationTestResults.2.periodicity1,testCases.0.permutationTestResults.2.periodicity16,testCases.0.permutationTestResults.2.periodicity2,testCases.0.permutationTestResults.2.periodicity32,testCases.0.permutationTestResults.2.periodicity8,testCases.1.hOriginal,testCases.2.hOriginal,testCases.3.hOriginal,testCases.0.binary
condA_rep1,noniid,b8,8,condA_rep1.bin,0,False,20260919133418,0,/mnt/c/Users/mario/Documents/TFM_RNG/tfm_esp32_rng/results/condA_rep1.bin,be60443540effef3a1d2ec5895093817307d0efc140eb27db9991b971b49db5f,0.9940139589319905,7.683245937424365,548.0,0.004384,0.004865332311621676,Most Common Value,0.9314167994635081,Collision Test (for bit strings only),0.9983258503062657,Markov Test (for bit strings only),0.8255286856584011,Compression Test (for bit strings only),0.9190889770283883,7.683245937424365,T-Tuple Test,0.9430015164477796,7.808767448894883,LRS Test,0.99617771826794,7.84128242202975,Multi Most Common in Window Test,0.9958267963626247,7.836405908720605,Lag Prediction Test,0.9967520659644113,7.8005793459999175,Multi Markov Model with Counting Test (MultiMMC),0.9965893934674355,7.797688766812851,LZ78Y Test,8.0,6.604229485267209,0.8255286856584011,7.683245937424365,Overall,1.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condA_rep1,iid,b8,8,condA_rep1.bin,0,True,20260919133423,0,/mnt/c/Users/mario/Documents/TFM_RNG/tfm_esp32_rng/results/condA_rep1.bin,be60443540effef3a1d2ec5895093817307d0efc140eb27db9991b971b49db5f,0.9940139589319905,7.683245937424365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1.8,,8.0,128.185392,129.0,True,True,True,6.0,325.0,90.0,6.0,6.0,21.0,6.0,6.0,0,5.0,5.0,3.0,5.0,1182.0,6.0,5.0,11.0,18.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,7.0,7.0,6.0,84.0,8.0,2,0.0,3.0,5.0,21.0,5.0,14.0,22.0,6.0,6.0,16.0,6.0,,,,
condA_rep1,noniid,b1,1,condA_rep1.bits,0,False,20260919133425,0,,0f7f7065a7b8cab925e53dd6954530f56d72367642f0963d601b628850a92d2c,,0.9940139589319905,500791.0,0.500791,0.502078913684083,Most Common Value,,Collision Test (for bit strings only),,Markov Test (for bit strings only),,Compression Test (for bit strings only),,0.9190889770283883,T-Tuple Test,,0.9430015164477796,LRS Test,,0.99617771826794,Multi Most Common in Window Test,,0.9958267963626247,Lag Prediction Test,,0.9967520659644113,Multi Markov Model with Counting Test (MultiMMC),,0.9965893934674355,LZ78Y Test,1.0,0.8255286856584011,,0.8255286856584011,Overall,1.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9314167994635081,0.9983258503062657,0.8255286856584011,
condA_rep1,iid,b1,1,condA_rep1.bits,0,True,20260919133426,0,,0f7f7065a7b8cab925e53dd6954530f56d72367642f0963d601b628850a92d2c,1.0,0.9940139589319905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1.8,,1.0,0.500791,0.5,True,True,True,6.0,164.0,6.0,6.0,11.0,6.0,6.0,6.0,0,4.0,2.0,6.0,6.0,248.0,6.0,9.0,7.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,6.0,17.0,6.0,6.0,31.0,6.0,2,4.0,9.0,6.0,599.0,6.0,35.0,6.0,6.0,13.0,6.0,9.0,,,,True
condB_rep1,noniid,b8,8,condB_rep1.bin,0,False,20260919133436,0,/mnt/c/Users/mario/Documents/TFM_RNG/tfm_esp32_rng/results/condB_rep1.bin,5e964bcf6385a5e3ce92bd21b9c54e6956367fd34cf83cfc3f8a16f31fbdb804,0.9949164992778315,7.678251120850179,550.0,0.0044,0.004882205980625752,Most Common Value,0.9285488407322184,Collision Test (for bit strings only),0.998531331428095,Markov Test (for bit strings only),0.9296780817777961,Compression Test (for bit strings only),0.9216225644511836,7.678251120850179,T-Tuple Test,0.8980423500480388,7.669927612995364,LRS Test,0.995179420712624,7.830120388085501,Multi Most Common in Window Test,0.9934149685125799,7.853965839163313,Lag Prediction Test,0.9975756697796245,7.853961986295062,Multi Markov Model with Counting Test (MultiMMC),0.996776516415267,7.853904189566488,LZ78Y Test,8.0,7.18433880038431,0.8980423500480388,7.669927612995364,Overall,1.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condB_rep1,iid,b8,8,condB_rep1.bin,0,True,20260919133440,0,/mnt/c/Users/mario/Documents/TFM_RNG/tfm_esp32_rng/results/condB_rep1.bin,5e964bcf6385a5e3ce92bd21b9c54e6956367fd34cf83cfc3f8a16f31fbdb804,0.9949164992778315,7.678251120850179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1.8,,8.0,127.499416,128.0,True,True,True,6.0,6.0,6.0,13.0,6.0,6.0,19.0,6.0,0,0.0,3.0,61.0,6.0,6.0,20.0,5.0,6.0,17.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,15.0,22.0,6.0,37.0,14.0,6.0,95.0,2,7.0,2.0,3.0,37.0,44.0,6.0,7.0,27.0,6.0,21.0,7.0,,,,
condB_rep1,noniid,b1,1,condB_rep1.bits,0,False,20260919133441,0,,c937e50f133e0636ff692e236e05c7268d50bb627fb2d6de0312dbb26b4d74bf,,0.9949164992778315,500477.0,0.500477,0.5017649147096559,Most Common Value,,Collision Test (for bit strings only),,Markov Test (for bit strings only),,Compression Test (for bit strings only),,0.9216225644511836,T-Tuple Test,,0.8980423500480388,LRS Test,,0.995179420712624,Multi Most Common in Window Test,,0.9934149685125799,Lag Prediction Test,,0.9975756697796245,Multi Markov Model with Counting Test (MultiMMC),,0.996776516415267,LZ78Y Test,1.0,0.8980423500480388,,0.8980423500480388,Overall,1.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9285488407322184,0.998531331428095,0.9296780817777961,
condB_rep1,iid,b1,1,condB_rep1.bits,0,True,20260919133441,0,,c937e50f133e0636ff692e236e05c7268d50bb627fb2d6de0312dbb26b4d74bf,1.0,0.9949164992778315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1.8,,1.0,0.499523,0.5,True,True,True,6.0,49.0,9.0,11.0,6.0,6.0,6.0,6.0,0,6.0,5.0,68.0,6.0,9.0,6.0,6.0,6.0,6.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,5.0,6.0,6.0,24.0,49.0,63.0,129.0,2,0.0,22.0,3.0,6.0,6.0,6.0,13.0,10.0,27.0,710.0,56.0,,,,True
condC_rep1,noniid,b8,8,condC_rep1.bin,0,False,20260919133451,0,/mnt/c/Users/mario/Documents/TFM_RNG/tfm_esp32_rng/results/condC_rep1.bin,732376183b2427e494211e0426a09ba8098377fe58e9ff0e8c64ca5afb767dc2,0.9959605878776912,7.698337907305238,542.0,0.004336,0.004814701567294296,Most Common Value,0.9243860656816933,Collision Test (for bit strings only),0.9991685354804078,Markov Test (for bit strings only),0.819937077656688,Compression Test (for bit strings only),0.9397801526919519,7.698337907305238,T-Tuple Test,0.9656387273486914,7.808768360991028,LRS Test,0.9986779378419135,7.853726902981052,Multi Most Common in Window Test,0.9952601278763176,7.82805932491733,Lag Prediction Test,1.0,7.784352905391033,Multi Markov Model with Counting Test (MultiMMC),0.9980380720316027,7.792269556864657,LZ78Y Test,8.0,6.559496621253504,0.819937077656688,7.698337907305238,Overall,1.1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
condC_rep1,iid,b8,8,condC_rep1.bin,0,True,20260919133457,0,/mnt/c/Users/mario/Documents/TFM_RNG/tfm_esp32_rng/results/condC_rep1.bin,732376183b2427e494211e0426a09ba8098377fe58e9ff0e8c64ca5afb767dc2,0.9959605878776912,7.698337907305238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1.8,,8.0,127.475472,127.0,True,True,True,6.0,5.0,8.0,6.0,6.0,128.0,50.0,6.0,0,1.0,2.0,4.0,44.0,136.0,13.0,5.0,5.0,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,30.0,6.0,2113.0,17.0,6.0,6.0,56.0,2,1.0,15.0,4.0,6.0,6.0,6.0,77.0,182.0,8.0,15.0,39.0,,,,
